RAT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,29,30,29,30,29,22,26,14,1,8,25,1,2,14,19,27,29,15,2,1
2,28,24,14,4,23,17,17,26,20,26,20,11,15,23,20,24,2,23,14,3
3,30,23,27,26,4,1,5,23,0,27,28,1,22,25,11,3,18,24,21,0
4,26,26,12,5,3,4,2,15,3,21,12,16,5,13,15,30,27,29,30,27
5,13,20,15,15,21,27,12,1,0,10,20,24,3,3,2,10,12,23,0,30
6,27,29,23,27,24,28,24,27,17,5,14,19,8,2,0,29,14,15,20,25
7,10,9,5,10,9,9,18,16,2,6,24,12,5,4,6,19,3,10,24,17
8,,9,14,9,0,16,20,7,7,18,27,2,27,2,28,29,13,2,6,14
9,16,15,10,15,3,13,18,22,11,11,17,4,17,28,19,5,2,3,3,28
10,29,30,30,30,4,26,30,7,26,30,17,4,1,30,25,25,25,3,26,30
11,16,7,23,3,2,12,7,2,22,14,8,25,7,3,10,2,5,16,26,5